Model,Metric,Comparison,Mean,Lower,Upper
Lasso regression,NPV,S4 - S3,-7.021335248857396e-05,-0.006715165598119429,0.0036591928395188988
Lasso regression,NPV,S4 - S4,0.0,0.0,0.0
Lasso regression,NPV,S4 - S5,5.6409162402142334e-05,-0.003375524142809225,0.0034059210348982515
Lasso regression,NPV,S5 - S1,-1.8620903441642912e-05,-0.003727200313395293,0.006805880642635058
Lasso regression,NPV,S5 - S2,9.803969576395844e-05,-0.0053974562937496385,0.006923141396362433
Lasso regression,NPV,S5 - S3,-0.0001266225148907163,-0.0066145283211059645,0.003904781418901464
Lasso regression,NPV,S5 - S4,-5.6409162402142334e-05,-0.0034059210348982515,0.0033755241428092228
Lasso regression,NPV,S5 - S5,0.0,0.0,0.0
Lasso regression,Precision,S1 - S1,0.0,0.0,0.0
Lasso regression,Precision,S1 - S2,0.0018620765418266194,-0.01878948382126347,0.027597891566265017
Lasso regression,Precision,S1 - S3,-0.004619221818917745,-0.056055372807017556,0.04604703605258518
Lasso regression,Precision,S1 - S4,-0.007723600577192138,-0.05641373063911265,0.04800952950391138
Lasso regression,Precision,S1 - S5,-0.009238783648866752,-0.07024033437826539,0.05207836581657331
Lasso regression,Precision,S2 - S1,-0.0018620765418266194,-0.02759789156626506,0.018789483821263442
Lasso regression,Precision,S2 - S2,0.0,0.0,0.0
Lasso regression,Precision,S2 - S3,-0.006481298360744364,-0.05860913624787777,0.045372552104659215
Lasso regression,Precision,S2 - S4,-0.009585677119018756,-0.06313488142292487,0.053502881205673744
Lasso regression,Precision,S2 - S5,-0.011100860190693373,-0.06730618519411623,0.05207836581657331
Lasso regression,Precision,S3 - S1,0.004619221818917745,-0.04604703605258521,0.056055372807017494
Lasso regression,Precision,S3 - S2,0.006481298360744364,-0.04537255210465923,0.05860913624787775
Lasso regression,Precision,S3 - S3,0.0,0.0,0.0
Lasso regression,Precision,S3 - S4,-0.003104378758274392,-0.03633968994012071,0.0417652027027026
Lasso regression,Precision,S3 - S5,-0.004619561829949008,-0.049412652733877425,0.03935520361990945
